Algorithm,Dataset,Size,Time (sec),Memory (bytes)
Merge Sort,sorted,1000,0.007125900010578334,20208
Quick Sort,sorted,1000,0.005132699967361987,1216
Merge Sort,reverse,1000,0.005356899928301573,20208
Quick Sort,reverse,1000,0.0019295999081805348,24
Merge Sort,random,1000,0.045773499994538724,17368
Quick Sort,random,1000,0.004843499977141619,24
Merge Sort,sorted,5000,0.04205059993546456,100704
Quick Sort,sorted,5000,0.010842200019396842,24
Merge Sort,reverse,5000,0.03099520003888756,100368
Quick Sort,reverse,5000,0.012726400047540665,24
Merge Sort,random,5000,0.04211300006136298,84096
Quick Sort,random,5000,0.012431500013917685,24
Merge Sort,sorted,10000,0.06246299995109439,200544
Quick Sort,sorted,10000,0.028506999951787293,24
Merge Sort,reverse,10000,0.06633790000341833,200432
Quick Sort,reverse,10000,0.026752799982205033,24
Merge Sort,random,10000,0.08712539996486157,169240
Quick Sort,random,10000,0.026514600031077862,24
